,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
0,nan,Amendoeira,,P,Árvore de outra espécie
1,Postes,Poste,PC,PC,Nenhuma identificação realizada
2,nan,nan,,,Nenhuma identificação realizada
3,nan,Palmeira,,Y,Palmeira
4,nan,Palmeira,,PM,Palmeira
5,nan,Palmeira,,Y,Palmeira
6,nan,Mangueira,,Y,Árvore de outra espécie
7,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
8,Outras,Palmeira,O,PM,Nenhuma identificação realizada
9,nan,Amendoeira,,Y,Árvore de outra espécie
10,nan,Mangueira,,Y,Árvore de outra espécie
11,nan,Poste,,N,Nenhuma identificação realizada
12,nan,Amendoeira,,P,Árvore de outra espécie
13,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
14,nan,Mangueira,,P,Árvore de outra espécie
15,nan,Amendoeira,,P,Árvore de outra espécie
16,nan,Mangueira,,N,Árvore de outra espécie
17,Palmeira,Palmeira,Y,Y,Palmeira
18,nan,Palmeira,,Y,Palmeira
19,nan,Amendoeira,,P,Árvore de outra espécie
20,nan,Mangueira,,P,Árvore de outra espécie
21,nan,Poste,,PC,Nenhuma identificação realizada
22,Outras,Palmeira,O,N,Nenhuma identificação realizada
23,nan,nan,,,Nenhuma identificação realizada
24,nan,Palmeira,,Y,Palmeira
25,nan,Amendoeira,,P,Árvore de outra espécie
26,nan,Poste,,PC,Nenhuma identificação realizada
27,nan,nan,,,Nenhuma identificação realizada
28,Palmeira,Palmeira,Y,PM,Palmeira
29,nan,Poste,,PC,Nenhuma identificação realizada
30,Outras,Mangueira,O,N,Árvore de outra espécie
31,nan,Palmeira,,Y,Palmeira
32,nan,nan,,,Nenhuma identificação realizada
33,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
34,nan,Palmeira,,Y,Palmeira
35,nan,Palmeira,,N,Palmeira
36,Outras,Mangueira,O,N,Árvore de outra espécie
37,nan,Palmeira,,Y,Palmeira
38,nan,nan,,,Nenhuma identificação realizada
39,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
40,nan,Mangueira,,N,Árvore de outra espécie
41,nan,Palmeira,,Y,Palmeira
42,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
43,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
44,nan,Mangueira,,P,Árvore de outra espécie
45,Postes,Palmeira,PC,N,Nenhuma identificação realizada
46,Folhas arredondadas,Cajueiro,P,P,Cajueiro
47,nan,nan,,,Nenhuma identificação realizada
48,nan,Palmeira,,N,Palmeira
49,nan,Amendoeira,,P,Árvore de outra espécie
50,nan,Mangueira,,P,Árvore de outra espécie
51,nan,Mangueira,,P,Árvore de outra espécie
52,nan,Poste,,PV,Nenhuma identificação realizada
53,nan,nan,,,Nenhuma identificação realizada
54,Postes,Palmeira,PC,N,Nenhuma identificação realizada
55,Palmeira,Palmeira,Y,Y,Palmeira
56,nan,Poste,,PC,Nenhuma identificação realizada
57,nan,nan,,,Nenhuma identificação realizada
58,Postes,Palmeira,PC,N,Nenhuma identificação realizada
59,Outras,Palmeira,O,N,Nenhuma identificação realizada
60,nan,nan,,,Nenhuma identificação realizada
61,nan,Palmeira,,N,Palmeira
62,nan,Amendoeira,,P,Árvore de outra espécie
63,nan,Amendoeira,,N,Árvore de outra espécie
64,nan,Poste,,PC,Nenhuma identificação realizada
65,nan,Palmeira,,N,Palmeira
66,Palmeira,Palmeira,Y,Y,Palmeira
67,Folhas arredondadas,Amendoeira,P,P,Amendoeira
68,nan,Poste,,PC,Nenhuma identificação realizada
69,nan,nan,,,Nenhuma identificação realizada
70,Postes,Palmeira,PC,PV,Nenhuma identificação realizada
71,nan,Mangueira,,P,Árvore de outra espécie
72,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
73,Outras,Amendoeira,O,Y,Árvore de outra espécie
74,Folhas arredondadas,nan,P,,Nenhuma identificação realizada
75,Postes,Palmeira,PC,N,Nenhuma identificação realizada
76,nan,Poste,,PC,Nenhuma identificação realizada
77,nan,Mangueira,,Y,Árvore de outra espécie
78,Palmeira,Palmeira,Y,Y,Palmeira
79,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
80,nan,Mangueira,,N,Árvore de outra espécie
81,Folhas arredondadas,Palmeira,PC,N,Nenhuma identificação realizada
82,Outras,Amendoeira,O,P,Árvore de outra espécie
83,nan,Poste,,PC,Nenhuma identificação realizada
84,nan,nan,,,Nenhuma identificação realizada
85,nan,Poste,,PC,Nenhuma identificação realizada
86,nan,Palmeira,,N,Palmeira
87,Postes,Mangueira,PC,N,Mangueira
88,nan,Palmeira,,N,Palmeira
89,nan,Palmeira,,PM,Palmeira
90,nan,Amendoeira,,N,Árvore de outra espécie
91,Postes,Poste,PC,PC,Nenhuma identificação realizada
92,nan,Mangueira,,Y,Árvore de outra espécie
93,Postes,Mangueira,PC,N,Mangueira
94,nan,nan,,,Nenhuma identificação realizada
95,Folhas arredondadas,Palmeira,P,N,Nenhuma identificação realizada
96,nan,Palmeira,,N,Palmeira
97,Folhas arredondadas,Amendoeira,P,P,Amendoeira
98,Postes,Mangueira,PC,N,Mangueira
99,Folhas arredondadas,Amendoeira,P,P,Amendoeira
100,nan,Mangueira,,N,Árvore de outra espécie
101,nan,Mangueira,,N,Árvore de outra espécie
102,Palmeira,Palmeira,Y,PM,Palmeira
103,Folhas lineares,Cajueiro,Y,Y,Árvore de outra espécie
104,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
105,Folhas arredondadas,Mangueira,P,PC,Árvore de outra espécie
106,nan,Mangueira,,N,Árvore de outra espécie
107,nan,Amendoeira,,P,Árvore de outra espécie
108,Outras,nan,O,,Nenhuma identificação realizada
109,nan,Palmeira,,N,Palmeira
110,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
111,nan,nan,,,Nenhuma identificação realizada
112,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
113,Folhas arredondadas,Poste,P,PC,Nenhuma identificação realizada
114,nan,Mangueira,,N,Árvore de outra espécie
115,Postes,Palmeira,PC,N,Nenhuma identificação realizada
116,Outras,Palmeira,O,P,Nenhuma identificação realizada
117,nan,Palmeira,,PM,Palmeira
118,nan,Amendoeira,,P,Árvore de outra espécie
119,Postes,Palmeira,PC,N,Nenhuma identificação realizada
